trade_num,entry_time,exit_time,entry_date,side,entry_sig,exit_sig,entry_price,exit_price,pnl_usd,pts,win,exit_class,mfe_pts,mae_pts,conf,rsi,rsi_os,rsi_ob,adx,adx_opt,macd,drsi,cloud,vwap,research_bucket
,2026-05-12T13:20:00,2026-05-12T13:21:00,2026-05-12,Short,CR3_WU|c5|r75.6|a55.7|m-40.16|d0.97|RBO,ADX_Block,28885.25,28896.75,,-11.5,false,ADX_Block,1.44,14.56,5,75.6,false,true,55.7,false,-40.16,0.97,BEAR,below,W_U_OB
,2026-05-12T13:34:00,2026-05-12T13:35:00,2026-05-12,Short,CR3_WU|c5|r68.8|a55.4|m-31.63|d-0.65|RB,ADX_Block,28921.25,28894,,27.25,true,ADX_Block,30.44,2.31,5,68.8,false,false,55.4,false,-31.63,-0.65,BEAR,below,W_U_3+
,2026-05-12T13:49:00,2026-05-12T13:50:00,2026-05-12,Long,CR3_WL|c1|r52.9|a55.4|m-31.63|d-0.28|Ra,ADX_Block,28894.25,28884.25,,-10,false,ADX_Block,3.19,12.56,1,52.9,false,false,55.4,false,-31.63,-0.28,BEAR,above,W_L_1
,2026-05-12T13:55:00,2026-05-12T13:56:00,2026-05-12,Short,CR3_WU|c5|r53.6|a55.4|m-31.63|d-0.06|RB,ADX_Block,28901,28907.5,,-6.5,false,ADX_Block,4.44,12.06,5,53.6,false,false,55.4,false,-31.63,-0.06,BEAR,below,W_U_3+
,2026-05-12T14:14:00,2026-05-12T14:15:00,2026-05-12,Short,CR3_WU|c5|r63.5|a55.2|m-21.8|d-0.4|RB,ADX_Block,28946.25,28959.75,,-13.5,false,ADX_Block,0.94,16.31,5,63.5,false,false,55.2,false,-21.8,-0.4,BEAR,below,W_U_3+
,2026-05-12T14:47:00,2026-05-12T14:48:00,2026-05-12,Long,CR3_WL|c1|r44.3|a53.6|m-9.15|d-1.26|Ra,ADX_Block,28962.5,28971.25,,8.75,true,ADX_Block,12.94,4.06,1,44.3,false,false,53.6,false,-9.15,-1.26,BEAR,above,W_L_1
,2026-05-12T14:59:00,2026-05-12T15:00:00,2026-05-12,Long,CR3_WL|c1|r41.2|a52.1|m-2.07|d0.26|Ra,ADX_Block,28956.5,28974.5,,18,true,ADX_Block,21.69,0.81,1,41.2,false,false,52.1,false,-2.07,0.26,BEAR,above,W_L_1
,2026-05-12T15:07:00,2026-05-12T15:08:00,2026-05-12,Short,CR3_WU|c4|r59.4|a52.1|m-2.07|d-0.17|RB,ADX_Block,29000.5,28995.75,,4.75,true,ADX_Block,11.69,5.56,4,59.4,false,false,52.1,false,-2.07,-0.17,BEAR,below,W_U_3+
,2026-05-12T15:35:00,2026-05-12T15:36:00,2026-05-12,Short,CR3_WU|c2|r71.1|a49.7|m9.14|d1.19|RbO,ADX_Block,29095,29096,,-1,false,ADX_Block,7.44,4.06,2,71.1,false,true,49.7,false,9.14,1.19,BEAR,below,W_U_OB
,2026-05-12T15:54:00,2026-05-12T15:55:00,2026-05-12,Short,CR3_WU|c1|r66.2|a49.7|m9.14|d0.22|Rb,ADX_Block,29159.25,29160.25,,-1,false,ADX_Block,2.94,15.81,1,66.2,false,false,49.7,false,9.14,0.22,BEAR,below,W_U_1
,2026-05-12T16:33:00,2026-05-12T18:01:00,2026-05-12,Long,CR3_WL|c2|r44.4|a43.4|m30.65|d-0.18|RA,WL_Exit,29113.75,29153.75,,40,true,TP_40,39.69,6.81,2,44.4,false,false,43.4,false,30.65,-0.18,BEAR,above,W_L_2
,2026-05-13T10:52:00,2026-05-13T10:54:00,2026-05-13,Short,CR3_WU|c2|r65.4|a34|m-27.41|d0.35|Nb,WS_Exit,29291,29311.25,,-20.25,false,SL_20,1.94,20.56,2,65.4,false,false,34,true,-27.41,0.35,NEU,below,W_U_2
,2026-05-13T11:13:00,2026-05-13T11:25:00,2026-05-13,Long,CR3_WL|c2|r52.8|a33.4|m-21.24|d-1.05|NA,WL_Exit,29313.5,29293.25,,-20.25,false,SL_20,28.19,20.56,2,52.8,false,false,33.4,true,-21.24,-1.05,NEU,above,W_L_2
,2026-05-13T11:41:00,2026-05-13T11:43:00,2026-05-13,Short,CR3_WU|c2|r61.9|a32.5|m-16.94|d0.65|Nb,WS_Exit,29352.5,29372.75,,-20.25,false,SL_20,0.94,20.56,2,61.9,false,false,32.5,true,-16.94,0.65,NEU,below,W_U_2
,2026-05-13T11:58:00,2026-05-13T12:03:00,2026-05-13,Long,CR3_WL|c2|r42.1|a32.5|m-16.94|d-1.27|NA,WL_Exit,29312.75,29352.75,,40,true,TP_40,39.69,13.56,2,42.1,false,false,32.5,true,-16.94,-1.27,NEU,above,W_L_2
,2026-05-13T12:23:00,2026-05-13T12:24:00,2026-05-13,Short,CR3_WU|c2|r66.7|a30.9|m-13.72|d0.03|Nb,WS_Exit,29403,29430.5,,-27.5,false,Other,0,38.06,2,66.7,false,false,30.9,true,-13.72,0.03,NEU,below,W_U_2
,2026-05-13T12:47:00,2026-05-13T13:01:00,2026-05-13,Long,CR3_WL|c2|r54.6|a28.9|m-3.11|d-0.7|NA,WL_Exit,29433.75,29473.75,,40,true,TP_40,39.69,18.81,2,54.6,false,false,28.9,true,-3.11,-0.7,NEU,above,W_L_2
,2026-05-13T13:23:00,2026-05-13T13:59:00,2026-05-13,Long,CR3_WL|c5|r49.7|a27.2|m4.15|d-0.54|BA,WL_Exit,29474.5,29454.25,,-20.25,false,SL_20,18.44,20.56,5,49.7,false,false,27.2,true,4.15,-0.54,BULL,above,W_L_3+
